    id  redshift           hst.wfc.F606W       hst.wfc.F606W_err           hst.wfc.F814W       hst.wfc.F814W_err       HST-WFC3_IR.F105W   HST-WFC3_IR.F105W_err       jwst.nircam.F115W   jwst.nircam.F115W_err          hst.wfc3.F125W      hst.wfc3.F125W_err          hst.wfc3.F140W      hst.wfc3.F140W_err       jwst.nircam.F150W   jwst.nircam.F150W_err          hst.wfc3.F160W      hst.wfc3.F160W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err       jwst.nircam.F444W   jwst.nircam.F444W_err 
  2175      -1.0    5.60554590257094e-05  1.4331856089093821e-05    9.44278212278529e-05   1.652041640225914e-05                   -99.0                   -99.0   0.0001648567039869473  1.1435062194527943e-05  0.00017472546598239756  2.5281660078898134e-05  0.00019317660550876995   4.218826065495935e-05  0.00023684916807940092  1.2422474227196963e-05  0.00023899852025693308   2.125774957606182e-05    0.000458582996154629    1.01074669648441e-05   0.0009155793590603207   9.182277119098271e-06   0.0009974815296772419   8.487484985719746e-06    0.001452825620054248   1.751297562921256e-05   0.0016278245607046996  1.2614294346975984e-05 
  2258      -1.0     9.1202866403275e-06   8.040565403111285e-06                     0.0   9.174845820181232e-06                   -99.0                   -99.0  2.6622306794762264e-05   6.280310709271898e-06   7.245693320310472e-05   2.190021619779372e-05                     0.0   2.317466991814921e-05   3.628928807437739e-05   6.423082940287249e-06                     0.0    2.12534223565266e-05   7.207242301801443e-05   5.097251848024471e-06  0.00013071207110477474   4.245576566178052e-06   0.0001310755930043435   4.134776531232096e-06  0.00013661508199829108   7.712660463751498e-06  0.00013882145371376655   6.212255752679422e-06 
  2651      -1.0   5.762608183970038e-05   1.120149325845982e-05  0.00034559007815544604  1.4822091231769806e-05                   -99.0                   -99.0   0.0025672989896075304   2.176881667553225e-05   0.0035041259060957794  1.7470271153617843e-05    0.004622175086807052    3.01174448695934e-05    0.005465545877496406   4.026816973136932e-05    0.005599071008275091    1.60692750290276e-05    0.008287653880177413    4.42357016832548e-05    0.013712270330517423   4.083434377332372e-05    0.015356460833399498  3.5970071070841205e-05    0.017174001318091894   5.092753459005859e-05    0.018448186600685562   4.185020097839655e-05 
  2714      -1.0   3.001816954998926e-07   6.943224569455737e-06  3.4128267857204864e-05  1.0147404385249548e-05                   -99.0                   -99.0   4.644308122988204e-05   5.484835041437308e-06                     0.0  1.1644274822355612e-05   0.0001428818469441724  2.2047869188725193e-05   5.029586890612841e-05    6.07760572306893e-06   3.678740099121289e-05  1.0541356400955451e-05    7.31043471479676e-05   5.166519296274495e-06   0.0001561595701408859   4.843279990877896e-06  0.00014449638152122876   5.048283137264679e-06    0.000166295005686343  1.0022610018056313e-05   0.0001562054501706234   7.371446550654981e-06 
  2717      -1.0  0.00010803574739725549  2.2277195360508065e-05  0.00019453262598451672  2.2374556618904996e-05                   -99.0                   -99.0  0.00041146251503079446  1.3648257397891564e-05    0.000522168774914393  2.7119780737380818e-05                   -99.0                   -99.0   0.0010769152767318901  1.4189009711467357e-05   0.0010784870716711867   2.384823498782237e-05    0.001689634060225614   1.216965667820833e-05    0.002688093054577803  1.1225607577015353e-05    0.003956126946996259  1.1088934218067754e-05    0.004717224808073246   2.019614139899535e-05    0.005204918222814522    1.63048005094221e-05 
  2899      -1.0   0.0001078022376937314  1.2958430042578486e-05  0.00024580223379878067  1.5801680934683835e-05                   -99.0                   -99.0   0.0009501787466206867   1.094666754977627e-05   0.0011535056028794993  2.3153805939474768e-05    0.001441022367937347   4.027439255014281e-05   0.0019093027116960243  1.3348359758770326e-05    0.001856229790439972  2.0576228962868187e-05    0.003780364336093255  1.4786891256935863e-05    0.007490906991513231  1.7472457251594618e-05    0.011675764848719357  2.0055879831969975e-05    0.014375686199773691   3.495860148022649e-05    0.016137990953235717  2.7451240033122605e-05 
  3022      -1.0   4.317104830834337e-05   7.582941172832452e-06   0.0001097555687822792  1.2606075614404692e-05                   -99.0                   -99.0  0.00014514023087127534   6.812633182273036e-06  0.00018029455307717768  1.4186994970571976e-05  0.00020032324429670737  2.2516601513035794e-05   0.0002237221817802849    7.75601091294754e-06  0.00021075260602996463   1.342172761960808e-05    0.000437372644020631   7.400511180610392e-06     0.00068109375153131   6.377949396057116e-06   0.0008484615877018965   5.835082818768627e-06   0.0008697598844525136   9.443656335618039e-06   0.0010172954531570454     7.9308501170957e-06 
  3077      -1.0   9.776834072110047e-06    3.48301930689302e-06                     0.0   4.300260742079776e-06                   -99.0                   -99.0  1.2759261841821218e-05   2.215419873724814e-06                     0.0   5.136567820197425e-06                     0.0   8.823770910448344e-06  1.2099613249373107e-05  2.5208599324582916e-06  2.4390453497805252e-05   4.548850713511717e-06   3.428782913605525e-05    2.29461891439804e-06  0.00010585362755722472    2.30764802528273e-06  0.00015131591038164587  2.3399481309364603e-06  0.00021162812807023568   3.886011562785447e-06  0.00024084482889011688  3.0040081574453096e-06 
  3140      -1.0  3.6607269887723103e-06   6.582981418705649e-06                     0.0   7.681624543080428e-06                   -99.0                   -99.0   3.636513955919079e-05  4.6764153947300505e-06  4.1730688725988284e-05  1.0588631922157975e-05                     0.0  1.9549115103422618e-05   3.759139771928071e-05  5.6215745533136334e-06   4.185087276882823e-05   9.120261474596533e-06   4.807406768429304e-05    4.53416174837345e-06  0.00010854843653863294   4.001034190540733e-06   9.455030647759383e-05  3.4773676629063843e-06  0.00013251453409662825  6.8910523610770405e-06  0.00010959763246919365  4.8969099066441565e-06 
  3784      -1.0   3.249734147233966e-05  1.4224618811722028e-05   5.566784613149383e-05   1.484600510555992e-05                   -99.0                   -99.0   0.0002111946542104037   8.802374208162764e-06   0.0002913707237344758  2.0972622029302468e-05  0.00029378735526642554   3.936332485392204e-05   0.0005359456591375215  1.0473987246707873e-05     0.00050171607519482  2.0093717255602373e-05   0.0009484330509794849   8.800983429365256e-06    0.001623699470852186   9.465398004475819e-06   0.0022864277335894784    9.38522513174069e-06   0.0029597369802530503  1.5337221719021458e-05   0.0032891481758595496  1.2655353902145609e-05 
  3926      -1.0   7.604088163049261e-06    2.65579366354023e-06  1.5252441747277417e-05   3.325792063556908e-06                   -99.0                   -99.0   2.377765260892786e-05  1.9125681454759534e-06  2.2906904767225967e-05  4.3149395084391575e-06                     0.0   8.058734213374605e-06  4.8178909995157595e-05   2.153843125000989e-06   4.602217132017112e-05  3.7316461011617213e-06   8.381511735457953e-05  2.1700744352808116e-06  0.00013716287159078145  2.0242198757387332e-06  0.00020024692246154986  2.0224235020348967e-06   0.0002615130491287336   3.790977641231033e-06   0.0002890933047872531  2.9290053640499858e-06 
  3996      -1.0  0.00039567395170712904  1.6688901001059243e-05   0.0009979604373154078  2.2854216491434265e-05                   -99.0                   -99.0    0.002995858196907606   1.538770488159709e-05   0.0033157033792970787  3.5674229741193535e-05   0.0042422550001396065    5.94071461710765e-05    0.005429101081309176  2.1606821666623917e-05    0.005282292196929958   3.397126785706171e-05    0.008277049022696978  2.2898679045619525e-05      0.0142204384863608  2.9364294448554693e-05     0.01910293058980058   3.337920080882169e-05    0.022822697728084363  5.4165108610047755e-05    0.021694764634420202  4.2743113722153446e-05 
  4082      -1.0   9.288466179680335e-05   9.562635301683713e-06  0.00033541649210951606  1.1412454730563754e-05                   -99.0                   -99.0   0.0026169229854977973   2.048103758788846e-05   0.0031717397474857866  1.6772703183484698e-05                   -99.0                   -99.0   0.0055615990587795615   3.659170338159986e-05    0.005562802380982318  1.4001274183440175e-05    0.009173841883108123  4.5720909872705495e-05    0.014523616245791208   3.838550220700318e-05    0.018041674880509315    3.94777531677108e-05     0.02103533546681577  5.6102711273884964e-05    0.021176666072150935   4.705224877178054e-05 
  4091      -1.0   7.138303834494446e-06   3.260449486063291e-06                     0.0    4.52454081306257e-06                   -99.0                   -99.0    1.23656399817787e-05   2.390121202439884e-06  1.9612638480446842e-05   5.256794076980235e-06                     0.0  1.0005482179244625e-05  1.6330098913724604e-05  2.8239092566360556e-06   1.453350316925704e-05  4.4066415006767315e-06  4.1645527887490195e-05   2.563057231150309e-06   4.767521307861029e-05  1.7063479193396792e-06  4.4345104594068774e-05   1.673681332659449e-06  5.1505795140179105e-05   3.408893552881995e-06   5.897844979527885e-05  2.6274602777247142e-06 
  4117      -1.0   0.0008954386202948215   2.176605342518851e-05    0.002348696134905435   2.727143249484669e-05                   -99.0                   -99.0    0.006046360578975346  2.0754506693984494e-05    0.007011845729803006   4.199770053757489e-05    0.009019560498752252   7.077794214548602e-05    0.010633807607472026   2.917337434786983e-05    0.010044070405974983   3.669665005678291e-05    0.018772521965707143   3.857884918979919e-05     0.03447721790782443   4.570492720708214e-05     0.04966665372380176  5.3996577342260536e-05      0.0537452262275515   9.486824436839302e-05     0.05164751493961395   7.395175749539778e-05 
  4180      -1.0  3.0496798076208625e-05  1.0868607968318337e-05   9.640220289810216e-05  1.3971255691566189e-05                   -99.0                   -99.0   0.0001029485722746746   8.904621158027786e-06  0.00021335942404998525  1.9217427914501287e-05  0.00023838673125551685   3.255632850264984e-05  0.00022756962704945379   9.442329309093958e-06  0.00026653549125786445  1.8173955784584033e-05   0.0005304468337106975   8.622935184649548e-06   0.0010026446751922702   8.088349564423316e-06    0.001226392766403084   8.181621577373804e-06   0.0017124265976107991  1.5480651514097897e-05   0.0018520080410994028  1.1262397877141198e-05 
  4729      -1.0  4.5406202158145345e-05   5.765863688591305e-06   7.474156779424877e-05   7.455138042182571e-06                   -99.0                   -99.0  0.00017116182601028285   5.017064385501218e-06   0.0002159956966229825  1.0464843504541043e-05    0.000338989625438482   1.840003980725033e-05  0.00042788705884032547    7.08273593062028e-06  0.00040714041217719023  1.0435699874467233e-05   0.0006434009343601312  6.6568860326818995e-06   0.0010092163114641135   6.051466866413203e-06    0.001420967578172083  6.7126740639318325e-06   0.0016162714896754175  1.0859987686543328e-05    0.001738423502016807   7.612016426618716e-06 
  4910      -1.0   9.445857273680021e-06  6.7069474940162315e-06   6.627044641132175e-05   9.075819999757313e-06                   -99.0                   -99.0  0.00010669741701150111   5.510061697353716e-06  0.00010899958707767512  1.1787740879505661e-05   0.0001143589410287888  2.0388792936294826e-05   0.0001501556977630813  6.3175263833903346e-06  0.00014121701103951017     8.3966645188222e-06  0.00024775682138657813   5.679983384569376e-06   0.0005103106273258339   5.693432671433387e-06   0.0005369248642258754   5.221344688281739e-06   0.0005567348720290405   8.418908625852074e-06   0.0005745576817269992   7.016533919453654e-06 
  4976      -1.0  1.3303409595504947e-05  2.5688810282807548e-05                     0.0   3.198881561701663e-05                   -99.0                   -99.0  0.00013742142836753343  2.2997608826012476e-05                     0.0   5.234215212015434e-05  0.00035437254827738886   9.391109197428572e-05   0.0001301872285459306  2.6241884198227763e-05  0.00023220403300749947   4.936839200083449e-05   0.0003155655525925623  2.6992179132930313e-05  0.00035664945576941695  1.6777789624701602e-05  0.00030726217413563407  1.7584844663815365e-05  0.00020610574867782098  2.9292379464291583e-05   0.0004116042323325147   2.900598394738021e-05 
  5193      -1.0  0.00034280697662906703  1.3795630716252642e-05   0.0005975473695682211  1.8240194122281717e-05                   -99.0                   -99.0   0.0018930797264508816   1.525288462691504e-05   0.0019699085004045015  2.7059374608339855e-05   0.0023641665259916413  4.6800199581000136e-05   0.0028272614911439026  2.2751460909928255e-05   0.0028085833417910563  2.5405035691877203e-05    0.004322277698219282   2.363075137685946e-05     0.00759130861944742  1.5488200223771988e-05    0.009193942602732569   1.592115955316239e-05    0.010677436181082937   2.758229412109094e-05    0.011783041985051125    2.23060534827293e-05 
